ID Contratos que utilizan banca movil,ID Sucursales banca comercial,ID Terminales punto de venta,ID Establecimientos con TPV,Cable coaxial,DSL,Creditos bienestar,c,estado,municipio
2987.177473,0.550378162,82.28153518,72.09953918,0,0,31,2,Morelos,Tepoztlán
2988.734694,0.711137872,12.8004817,12.62269724,0,0,2130,2,Guerrero,Coyuca de Benítez
2991.325661,0.268738268,32.24859216,29.82994775,0,870,29,3,Hidalgo,Zempoala
2992.569351,0.935136175,34.60003847,30.85949377,12,9603,229,2,Guanajuato,Salvatierra
2992.88952,2.10002773,726.6095947,396.2052318,3539,2306,601,2,Quintana Roo,Tulum
3000.909965,0,17.21128206,17.21128206,0,0,1,3,Morelos,Coatlán del Río
3002.408049,0.616415963,70.11731574,49.00506902,0,0,1813,2,Oaxaca,Santa Cruz Xoxocotlán
3004.800512,0.867979542,46.29224225,38.48042637,2382,7284,121,2,Guanajuato,Cortazar
3006.851453,0,5.570306509,4.456245207,0,547,1,3,Hidalgo,Almoloya
3010.183374,0,69.9564147,42.17960298,0,577,1,3,Chihuahua,Casas Grandes
3013.732175,1.71429589,36.57164566,31.42875799,0,1351,37,0,Michoacán,Tepalcatepec
3019.550755,1.301418307,22.12411121,18.48013995,0,6689,62,0,Zacatecas,Loreto
3028.764005,1.295727917,43.19093055,34.12083514,0,0,217,0,Campeche,Escárcega
3029.195487,0.335483848,28.62795499,19.90537495,5867,2286,688,3,Puebla,Amozoc
3042.4011,0.84541335,31.35275796,25.0725445,0,0,3604,2,Jalisco,Tonalá
3043.566365,0.273357856,13.94125064,12.57446136,1907,2608,231,3,Guerrero,Eduardo Neri
3049.370556,0,18.9166908,18.9166908,0,0,0,3,Oaxaca,Santiago Laollaga
3049.852226,0,10.08215612,10.08215612,0,44,0,3,Coahuila,Sacramento
3054.5309,0.713175555,90.03841377,64.18579992,5046,4121,6,2,México,Ocoyoacac
3066.032583,0,24.86128626,21.97043902,0,4,45,3,Tlaxcala,Totolac
3067.042087,1.221442488,92.82962906,72.06510677,0,477,41,2,Jalisco,Cabo Corrientes
3067.140031,0,19.24312323,18.17406083,0,1291,50,3,Puebla,San Miguel Xoxtla
3072.230476,0,0,0,0,40,0,3,Sonora,Trincheras
3073.276126,1.278999584,132.0567071,79.77759906,5946,3405,817,2,Yucatán,Valladolid
3073.320259,1.23087549,34.64035308,29.54101176,1,7297,85,0,Michoacán,Zacapu
3075.227859,0,70.33915505,48.76848083,0,0,29,3,Coahuila,Cuatro Ciénegas
3075.82108,0.392875345,17.67939055,15.32213847,0,0,33,3,Colima,Armería
3076.326573,0.61838196,23.86954364,17.19101848,0,0,49,0,Sinaloa,"Fuerte, El"
3081.029882,0,28.15195036,26.54326749,0,0,150,3,Oaxaca,Santa María Atzompa
3082.370434,0,31.00123277,25.70187674,0,0,264,3,Chiapas,Berriozábal
